anio_mes,planta_id,meta_toneladas_planta,real_toneladas_planta
2024-01,PN,231411.7,226874.2
2024-02,PN,231411.7,195553.9
2024-03,PN,215438.3,221763.9
2024-04,PN,219025.3,212703.6
2024-05,PN,218508.4,227413.2
2024-06,PN,221199.0,218839.8
2024-07,PN,221535.3,218285.2
2024-08,PN,220075.1,216920.0
2024-09,PN,223707.4,219218.4
2024-10,PN,223274.6,225273.7
2024-11,PN,225411.6,221639.0
2024-12,PN,224429.9,220261.1
2025-01,PN,224671.6,227257.3
2025-02,PN,226196.8,188302.3
2025-03,PN,221331.8,218982.9
2025-04,PN,221291.8,225381.2
2025-05,PN,221310.0,223366.6
2025-06,PN,221603.7,221810.4
2025-07,PN,221867.1,223603.0
2025-08,PN,221245.9,215972.7
2025-09,PN,225949.9,215516.3
2025-10,PN,225360.5,231106.6
2025-11,PN,226333.9,233284.6
2025-12,PN,228019.9,229457.6
2026-01,PN,229319.9,231403.5
2026-02,PN,230646.0,192661.4
2026-03,PN,226683.1,224218.0
2026-04,PN,228162.4,227564.3
2026-05,PN,227560.2,230977.2
2026-06,PN,227167.9,221854.8
2026-07,PN,225875.5,230741.0
2026-08,PN,225762.8,217196.1
2026-09,PN,229933.7,227153.1
2026-10,PN,230432.7,227126.8
2026-11,PN,230358.3,226094.5
2026-12,PN,229528.3,240357.5
2027-01,PN,232673.7,222036.0
2027-02,PN,231193.9,190859.0
2027-03,PN,226716.6,219385.0
2027-04,PN,225396.0,225405.8
2027-05,PN,225103.4,241239.0
2027-06,PN,227678.0,235154.6
2027-07,PN,226793.5,232511.8
2027-08,PN,228574.4,231497.7
2027-09,PN,235483.0,241800.6
2027-10,PN,239293.6,243267.7
2027-11,PN,242330.1,226322.7
2027-12,PN,239794.4,237069.8
2024-01,PC,168072.4,164776.9
2024-02,PC,168072.4,153516.0
2024-03,PC,162329.4,170152.7
2024-04,PC,166071.5,174502.6
2024-05,PC,169051.8,185571.2
2024-06,PC,173098.0,171931.6
2024-07,PC,173476.7,175106.2
2024-08,PC,175232.7,166951.1
2024-09,PC,177516.6,168097.7
2024-10,PC,177167.3,174758.5
2024-11,PC,177210.8,180555.6
2024-12,PC,176358.1,177343.3
2025-01,PC,177278.1,165009.7
2025-02,PC,175561.7,141109.0
2025-03,PC,171168.5,172398.5
2025-04,PC,171899.7,176746.4
2025-05,PC,172237.6,183042.6
2025-06,PC,172660.4,172763.9
2025-07,PC,171881.9,188541.9
2025-08,PC,175882.4,179886.8
2025-09,PC,182474.6,175579.3
2025-10,PC,183015.4,181760.4
2025-11,PC,183867.7,177981.0
2025-12,PC,183007.3,183234.0
2026-01,PC,184787.2,172922.4
2026-02,PC,182131.9,153450.0
2026-03,PC,177637.6,174378.4
2026-04,PC,177433.5,186428.9
2026-05,PC,178227.1,188207.5
2026-06,PC,179965.6,186458.0
2026-07,PC,180513.7,185876.0
2026-08,PC,182715.8,188739.6
2026-09,PC,188715.0,186826.3
2026-10,PC,190831.2,193041.1
2026-11,PC,191955.2,191201.1
2026-12,PC,192464.2,198125.6
2027-01,PC,194447.6,169257.8
2027-02,PC,191622.6,158916.9
2027-03,PC,186552.7,186155.8
2027-04,PC,186438.7,195046.0
2027-05,PC,186779.5,204973.8
2027-06,PC,189120.9,198114.7
2027-07,PC,189119.1,203320.7
2027-08,PC,194909.7,196164.3
2027-09,PC,201241.8,194887.0
2027-10,PC,202726.1,204505.5
2027-11,PC,204334.2,201613.8
2027-12,PC,203763.0,201891.5
2024-01,PS,261403.6,256278.0
2024-02,PS,261403.6,229951.4
2024-03,PS,247977.0,263839.1
2024-04,PS,255023.3,270021.9
2024-05,PS,260123.1,262606.0
2024-06,PS,261670.1,275294.4
2024-07,PS,264858.4,254956.7
2024-08,PS,264633.8,256475.5
2024-09,PS,269142.9,258623.5
2024-10,PS,268256.3,278030.9
2024-11,PS,269617.8,265121.8
2024-12,PS,270045.5,276694.6
2025-01,PS,270283.5,266163.8
2025-02,PS,272188.7,232440.9
2025-03,PS,268102.8,269536.8
2025-04,PS,269958.1,263846.0
2025-05,PS,267546.7,290394.9
2025-06,PS,271843.1,279949.7
2025-07,PS,272396.5,261060.1
2025-08,PS,271528.8,256675.9
2025-09,PS,275648.8,276974.7
2025-10,PS,276913.2,290135.5
2025-11,PS,281382.4,282004.7
2025-12,PS,279956.1,299305.4
2026-01,PS,283246.6,261951.1
2026-02,PS,283398.0,256725.9
2026-03,PS,283406.5,278957.4
2026-04,PS,283743.6,289265.8
2026-05,PS,283595.8,313203.7
2026-06,PS,288899.6,296272.4
2026-07,PS,288384.0,293371.3
2026-08,PS,293725.4,287438.6
2026-09,PS,298946.6,294395.4
2026-10,PS,301571.0,316585.1
2026-11,PS,306215.3,298406.1
2026-12,PS,303699.7,312645.5
2027-01,PS,306483.1,302031.0
2027-02,PS,307955.3,257551.1
2027-03,PS,302874.4,303159.7
2027-04,PS,304364.3,313169.6
2027-05,PS,303783.7,321230.2
2027-06,PS,307663.8,311225.0
2027-07,PS,307422.3,320891.7
2027-08,PS,310628.6,296075.2
2027-09,PS,317177.7,314873.9
2027-10,PS,319169.2,329359.2
2027-11,PS,321921.4,319826.8
2027-12,PS,321682.8,306531.2
