parada_id,equipo_id,fecha,hora_inicio_aprox,duracion_horas,tipo_parada,causa,costo_estimado_soles,planta
PAR-001518,PN-EQ-05 ,2024-07-21,01:00:00,8.5, preventiva,Mantenimiento programado (plan anual),8271.0,PN
PAR-001890,PN-EQ-05 ,2027-11-29,15:00:00,4.7, preventiva,Mantenimiento programado (plan anual),8733.0,PN
PAR-000180, PN-EQ-01,2025-12-07,14:00:00,8.5,Preventiva,Mantenimiento programado (plan anual),18203.0,PN
PAR-000501,PNEQ02,2025-07-20,18:00:00,0.9,Operativa,Corte de energía externo,444.0,PN
PAR-000025,pn-eq-01,2024-04-04,15:00:00,4.6,Correctiva,Falla mecánica - desgaste de componente,5492.0,PN
PAR-003252,pn-eq-10,2024-05-16,00:00:00,20.0, correctiva,Rotura de faja/correa,32202.0,PN
PAR-000394,PN-EQ-02 ,2024-06-14,06:00:00,6.4,PREVENTIVA,Mantenimiento programado (plan anual),5658.0,PN
PAR-003531,PN-EQ-10 ,2026-08-05,03:00:00,5.8,Correctiva,Falla eléctrica - motor/tablero,6663.0,PN
PAR-000546,PN-EQ-02	,2026-01-06,01:00:00,2.3,Operativa,Condiciones climáticas adversas,1318.0,PN
PAR-002747, PN-EQ-08,2026-03-19,16:00:00,2.5,Operativa,,1019.0,PN
PAR-002983, PN-EQ-09,2024-11-07,05:00:00,4.3,Preventiva,Mantenimiento programado (plan anual),9062.0,PN
PAR-001156,PN_EQ_04,2025-03-30,06:00:00,9.3,CORRECTIVA,Falla eléctrica - motor/tablero,12550.0,PN
PAR-002302,pn-eq-07,2024-07-15,03:00:00,1.5,Correctiva ,Falla eléctrica - motor/tablero,2277.0,PN
PAR-002039,PNEQ06,2025-07-13,05:00:00,2.0, operativa,Espera de insumos (reactivos/bolas de molienda),,PN
PAR-003666,PN-EQ-10	,2027-10-22,02:00:00,1.5, operativa,Falta de mineral en cancha,899.0,PN
PAR-001222,PN-EQ-04,2025-10-11,15:00:00,1.6,Correctiva ,Falla mecánica - desgaste de componente,2212.0,PN
PAR-003078,PN-EQ-09 ,2026-03-16,07:00:00,2.0,Operativa,Corte de energía externo,530.0,PN
PAR-001887,PN-EQ-05,2027-11-09,13:00:00,8.6,PREVENTIVA,Mantenimiento programado (plan anual),9209.0,PN
PAR-001142,pn-eq-04,2025-03-04,07:00:00,2.0,OPERATIVA,Falta de mineral en cancha,572.0,PN
PAR-002275, PN-EQ-07,2024-02-20,11:00:00,7.8,Correctiva ,Falla mecánica - desgaste de componente,,PN
PAR-000152,PN_EQ_01,2025-08-18,13:00:00,6.2,Correctiva,Atoro de mineral / obstrucción,12440.0,PN
PAR-003509,PN-EQ-10	,2026-06-09,13:00:00,2.0,Operativa,Condiciones climáticas adversas,816.0,PN
PAR-003216,PN_EQ_10,2024-01-09,04:00:00,1.3,Operativa,Falta de mineral en cancha,,PN
PAR-001632,pn-eq-05,2025-08-03,11:00:00,4.7, preventiva,,9678.0,PN
PAR-001153,PN-EQ-04,2025-03-28,17:00:00,4.2,Preventiva,Mantenimiento programado (plan anual),4708.0,PN
PAR-000115, PN-EQ-01,2025-03-10,22:00:00,0.5,Correctiva,Falla eléctrica - motor/tablero,464.0,PN
