parada_id,equipo_id,fecha,hora_inicio_aprox,duracion_horas,tipo_parada,causa,costo_estimado_soles
PAR-003986,PC_EQ_01,2027-05-25,05:00,4.1,Preventiva ,Mantenimiento programado (plan anual),6642.0
PAR-004092,pc-eq-02,2024-07-01,08:00,8.9,CORRECTIVA,Rotura de faja/correa,8421.0
PAR-004673, PC-EQ-03,2027-10-09,05:00,4.1,PREVENTIVA,,8353.0
PAR-005501,PC-EQ-05	,2026-12-05,02:00,20.0,Correctiva,Falla mecánica - desgaste de componente,27651.0
PAR-006661,PC_EQ_09,2025-01-21,18:00,2.4,Correctiva,Falla de lubricación,3543.0
PAR-006959,PC_EQ_10,2024-10-01,02:00,20.0,Correctiva,Falla de lubricación,
PAR-005630, PC-EQ-06,23/01/2024,16:00,3.0,CORRECTIVA,Falla mecánica - desgaste de componente,5957.0
PAR-003709,PC-EQ-01	,2024-05-28,02:00,20.0,Correctiva,Falla de lubricación,
PAR-005580,PC-EQ-05 ,2027-08-27,11:00,6.9,Preventiva ,Mantenimiento programado (plan anual),12468.0
PAR-004760,PC-EQ-04	,2024-07-27,02:00,20.0,Correctiva ,Falla de lubricación,39325.0
PAR-003758,PC-EQ-01	,13/12/2024,00:00,5.7,Correctiva,Falla eléctrica - motor/tablero,4699.0
PAR-005073,PCEQ04,2027-04-16,06:00,4.7,Correctiva,Falla de lubricación,4454.0
PAR-006695, PC-EQ-09,2025-07-28,02:00,0.7,Operativa ,Corte de energía externo,371.0
PAR-005510, PC-EQ-05,2027-01-01,02:00,1.3,Operativa,Espera de insumos (reactivos/bolas de molienda),407.0
PAR-006430,PC_EQ_08,2026-03-11,00:00,20.0, correctiva,Falla eléctrica - motor/tablero,32427.0
PAR-004206,PC-EQ-02,2025-10-25,09:00,5.3, preventiva,Mantenimiento programado (plan anual),5651.0
PAR-004318,PC_EQ_02,05/01/2027,09:00,7.0, correctiva,Falla de lubricación,8534.0
PAR-005068,PCEQ04,2027-04-06,03:00,19.5,CORRECTIVA,Rotura de faja/correa,39946.0
PAR-003984,pc-eq-01,2027-05-21,19:00,1.9,Operativa,Espera de insumos (reactivos/bolas de molienda),393.0
PAR-004365,PC-EQ-02 ,29/06/2027,03:00,15.5,Correctiva,Falla eléctrica - motor/tablero,24141.0
PAR-005608,PCEQ05,21/11/2027,04:00,2.9,Correctiva,Falla eléctrica - motor/tablero,2709.0
PAR-006148,PC-EQ-07,14/11/2026,17:00,5.5,Preventiva,Mantenimiento programado (plan anual),6642.0
PAR-005517,PC-EQ-05	,2027-01-26,11:00,2.3,Correctiva ,Falla eléctrica - motor/tablero,4409.0
PAR-006017,pc-eq-07,03/12/2024,16:00,4.1,PREVENTIVA,Mantenimiento programado (plan anual),
PAR-006237,PC_EQ_08,2024-01-26,01:00,2.7,OPERATIVA,Corte de energía externo,1482.0
PAR-006312,PCEQ08,2024-11-25,03:00,7.0, correctiva,Falla de lubricación,11929.0
PAR-004752,PC_EQ_04,2024-07-09,05:00,0.5,Correctiva,Falla mecánica - desgaste de componente,416.0
PAR-004659,PC-EQ-03,2027-07-24,20:00,2.4,Operativa ,Corte de energía externo,1020.0
PAR-006411,PC_EQ_08,20/12/2025,06:00,11.5, correctiva,Falla de lubricación,
PAR-007190,PCEQ10,2027-03-01,00:00,18.7,Correctiva,Rotura de faja/correa,38242.0
PAR-007213,PCEQ10,2027-06-17,03:00,20.0,CORRECTIVA,Falla mecánica - desgaste de componente,43637.0
PAR-006922,PCEQ10,16/05/2024,21:00,1.8,OPERATIVA,Condiciones climáticas adversas,422.0
PAR-006167,PC-EQ-07	,2027-02-15,02:00,2.4,Correctiva ,Atoro de mineral / obstrucción,3170.0
PAR-005993,PC-EQ-07,29/07/2024,03:00,0.5,Correctiva ,Atoro de mineral / obstrucción,731.0
PAR-005792,PC-EQ-06 ,16/01/2026,07:00,2.1,Operativa,Falta de mineral en cancha,752.0
PAR-003799,PCEQ01,29/05/2025,10:00,3.9, correctiva,Falla mecánica - desgaste de componente,
PAR-006043, PC-EQ-07,2025-04-12,10:00,1.4,Operativa,Condiciones climáticas adversas,538.0
PAR-005899,PC-EQ-06	,24/03/2027,02:00,8.7,Preventiva,Mantenimiento programado (plan anual),15907.0
PAR-004473,PC-EQ-03 ,2024-12-20,03:00,8.8,Correctiva,Falla de lubricación,13363.0
PAR-005763,PC-EQ-06 ,16/09/2025,01:00,7.4,PREVENTIVA,Mantenimiento programado (plan anual),8741.0
PAR-005809, PC-EQ-06,11/03/2026,01:00,12.3, correctiva,Falla de lubricación,14259.0
PAR-005289,PC-EQ-05	,2025-03-15,02:00,17.3,Correctiva,Falla mecánica - desgaste de componente,18648.0
PAR-005107,PCEQ04,2027-07-20,01:00,1.8,Operativa,Falta de mineral en cancha,428.0
PAR-006834,PCEQ09,2027-05-21,13:00,6.1,Preventiva,Mantenimiento programado (plan anual),8417.0
PAR-006276, PC-EQ-08,2024-06-26,03:00,17.1,Correctiva,Falla eléctrica - motor/tablero,21457.0
PAR-007240,pc-eq-10,2027-10-14,02:00,20.0,Correctiva ,Falla mecánica - desgaste de componente,42153.0
PAR-004968,PCEQ04,2026-05-20,01:00,18.5,Correctiva ,Rotura de faja/correa,17772.0
