fecha,precio_cu_usd_lb,precio_zn_usd_lb,precio_ag_usd_oz,tipo_cambio_pen_usd
2024-01-01,4.1,1.2,26.0,3.75
2024-01-02,4.072,1.194,26.065,3.7536
2024-01-03,4.074,1.184,26.064,3.7477
2024-01-04,4.052,1.187,26.287,3.7481
2024-01-05,4.027,1.181,26.463,3.7432
2024-01-06,4.056,1.183,26.471,3.7474
2024-01-07,4.072,1.186,26.625,3.7484
2024-01-08,4.053,1.183,26.322,3.7488
2024-01-09,4.015,1.182,26.411,3.7451
2024-01-10,4.037,1.197,26.615,3.745
2024-01-11,4.059,1.197,26.619,3.7458
2024-01-12,4.06,1.194,26.382,3.7459
2024-01-13,4.05,1.192,26.065,3.7509
2024-01-14,4.073,1.182,25.933,3.7494
2024-01-15,4.13,1.184,25.835,3.7494
2024-01-16,4.161,1.169,25.527,3.7514
2024-01-17,4.161,1.174,25.642,3.7477
2024-01-18,4.17,1.177,25.699,3.7501
2024-01-19,4.146,1.175,25.85,3.7477
2024-01-20,4.089,1.171,25.687,3.7484
2024-01-21,4.095,1.174,25.943,3.7523
2024-01-22,4.091,1.186,25.975,3.7524
2024-01-23,4.14,1.185,25.779,3.7483
2024-01-24,4.143,1.19,25.844,3.7503
2024-01-25,4.175,1.176,25.942,3.7525
2024-01-26,4.201,1.178,26.163,3.7566
2024-01-27,4.174,1.185,26.297,3.7542
2024-01-28,4.167,1.194,26.17,3.7514
2024-01-29,4.162,1.207,26.397,3.7497
2024-01-30,4.131,1.211,25.98,3.7512
2024-01-31,4.143,1.203,26.037,3.7508
2024-02-01,4.144,1.193,25.938,3.7492
2024-02-02,4.124,1.189,25.971,3.7506
2024-02-03,4.129,1.192,26.079,3.7537
2024-02-04,4.128,1.193,26.276,3.7482
2024-02-05,4.138,1.198,26.364,3.748
2024-02-06,4.132,1.197,26.439,3.7503
2024-02-07,4.127,1.202,26.229,3.7505
2024-02-08,4.129,1.207,25.998,3.7541
2024-02-09,4.139,1.212,25.913,3.7523
2024-02-10,4.138,1.207,26.016,3.7518
2024-02-11,4.169,1.221,25.994,3.7502
2024-02-12,4.177,1.212,26.217,3.7477
2024-02-13,4.176,1.216,25.994,3.7475
2024-02-14,4.164,1.218,26.005,3.7445
2024-02-15,4.115,1.207,25.936,3.7406
2024-02-16,4.096,1.202,25.688,3.7441
2024-02-17,4.1,1.202,25.836,3.7422
2024-02-18,4.106,1.191,26.097,3.7491
2024-02-19,4.124,1.187,26.082,3.7445
2024-02-20,4.116,1.192,26.104,3.7415
2024-02-21,4.148,1.191,26.084,3.7418
2024-02-22,4.096,1.189,26.267,3.7508
2024-02-23,4.107,1.167,26.459,3.7529
2024-02-24,4.076,1.15,26.201,3.7514
2024-02-25,4.105,1.141,26.043,3.7526
2024-02-26,4.121,1.131,26.344,3.7443
2024-02-27,4.099,1.127,26.343,3.745
2024-02-28,4.082,1.125,26.082,3.7463
2024-02-29,4.103,1.123,26.196,3.7503
2024-03-01,4.107,1.127,26.163,3.7467
2024-03-02,4.105,1.113,26.101,3.7466
2024-03-03,4.089,1.112,26.193,3.7504
2024-03-04,4.098,1.107,26.236,3.7475
2024-03-05,4.089,1.106,26.321,3.7467
2024-03-06,4.079,1.102,26.18,3.7516
2024-03-07,4.059,1.096,26.13,3.7523
2024-03-08,4.063,1.1,26.2,3.751
2024-03-09,4.059,1.102,25.824,3.7543
2024-03-10,4.043,1.105,25.784,3.7538
2024-03-11,4.024,1.095,25.685,3.7542
2024-03-12,4.017,1.094,25.718,3.7524
2024-03-13,3.995,1.1,25.615,3.7501
2024-03-14,4.022,1.091,25.656,3.7465
2024-03-15,4.034,1.09,25.577,3.7496
2024-03-16,4.021,1.095,25.718,3.7458
2024-03-17,4.058,1.106,25.602,3.7416
2024-03-18,4.029,1.109,25.564,3.7433
2024-03-19,4.042,1.103,25.471,3.7419
2024-03-20,4.048,1.086,25.317,3.7428
2024-03-21,4.037,1.076,25.378,3.7433
2024-03-22,4.062,1.064,25.509,3.7433
2024-03-23,4.076,1.068,25.657,3.7471
2024-03-24,4.082,1.069,25.727,3.7488
2024-03-25,4.126,1.077,25.681,3.7482
2024-03-26,4.139,1.079,25.881,3.7443
2024-03-27,4.152,1.089,25.764,3.7428
2024-03-28,4.15,1.088,25.673,3.7417
2024-03-29,4.135,1.07,25.687,3.7406
2024-03-30,4.151,1.074,25.684,3.7413
2024-03-31,4.129,1.078,25.779,3.7388
2024-04-01,4.108,1.069,25.631,3.7349
2024-04-02,4.108,1.074,25.948,3.7378
2024-04-03,4.063,1.081,25.89,3.7396
2024-04-04,4.067,1.065,25.841,3.7398
2024-04-05,4.069,1.059,25.77,3.7421
2024-04-06,4.078,1.046,25.828,3.7446
2024-04-07,4.052,1.041,25.767,3.7454
2024-04-08,4.035,1.041,25.64,3.7446
2024-04-09,4.003,1.044,25.644,3.7495
2024-04-10,3.973,1.035,25.682,3.7501
2024-04-11,3.993,1.049,25.834,3.752
2024-04-12,3.995,1.048,26.108,3.7537
2024-04-13,3.972,1.056,26.174,3.7511
2024-04-14,3.944,1.06,26.409,3.7572
2024-04-15,3.934,1.058,26.416,3.756
2024-04-16,3.917,1.048,26.43,3.7568
2024-04-17,3.909,1.038,26.589,3.7566
2024-04-18,3.912,1.029,26.519,3.7557
2024-04-19,3.934,1.039,26.238,3.7534
2024-04-20,3.944,1.027,25.818,3.7545
2024-04-21,3.97,1.043,25.879,3.7532
2024-04-22,3.998,1.026,25.81,3.7558
2024-04-23,4.005,1.037,25.932,3.7541
2024-04-24,3.972,1.044,26.195,3.7494
2024-04-25,3.931,1.042,26.181,3.7464
2024-04-26,3.932,1.041,26.118,3.7515
2024-04-27,3.968,1.043,26.192,3.7499
2024-04-28,3.993,1.043,26.176,3.7503
2024-04-29,4.015,1.044,26.093,3.7447
2024-04-30,4.014,1.036,26.234,3.7433
2024-05-01,4.004,1.031,26.187,3.7455
