Fecha,Cod_Equipo,Horas_Trab,Horas_Parada,Ton_Producidas,Ton_Rechazo,Cap_Nominal_TMH,Fecha_Carga
09/07/2024,PC-EQ-01	,24.0,0.0,9029.9,97.8,416.0,2024-07-10 00:00:00
26/09/2024,PC_EQ_06,22.4,1.6,4701.6,39.1,240.0,2024-09-27 00:00:00
06/03/2024,PC-EQ-01	,24.0,0.0,8411.4,288.4,416.0,2024-03-07 00:00:00
27/11/2024,pc-eq-10,24.0,0.0,7767.7,235.7,400.0,2024-11-25 00:00:00
23/11/2024,pc-eq-06,24.0,0.0,4972.3,66.6,240.0,2024-11-24 00:00:00
17/09/2024,PC_EQ_05,24.0,0.0,5443.8,63.1,240.0,2024-09-18 00:00:00
11/02/2025,PCEQ06,24.0,0.0,5169.6,134.3,240.0,2025-02-12 00:00:00
10/04/2024,pc-eq-01,24.0,0.0,9763.7,316.9,416.0,2024-04-11 00:00:00
10/12/2024,PC-EQ-05,24.0,0.0,5401.0,105.8,240.0,2024-12-11 00:00:00
16/04/2024,pc-eq-04,24.0,0.0,7523.2,86.0,368.0,2024-04-17 00:00:00
16/05/2024, PC-EQ-08,24.0,0.0,6780.7,288.6,320.0,2024-05-17 00:00:00
06/07/2024,PC-EQ-03 ,24.0,0.0,6556.9,41.5,304.0,2024-07-07 00:00:00
23/03/2024,PC-EQ-09	,24.0,0.0,4152.7,70.1,208.0,2024-03-24 00:00:00
06/04/2024,PC-EQ-06,24.0,0.0,4965.0,81.0,240.0,2024-06-05 00:00:00
10/05/2024,pc-eq-05,24.0,0.0,5187.1,110.2,240.0,2024-05-11 00:00:00
26/05/2024,PCEQ06,24.0,0.0,4948.6,117.6,240.0,2024-05-27 00:00:00
30/08/2024,PC_EQ_07,24.0,0.0,5644.4,101.2,280.0,2024-08-31 00:00:00
01/11/2024,PC-EQ-05 ,24.0,0.0,5111.7,192.9,240.0,2024-11-02 00:00:00
14/01/2025,PCEQ06,24.0,0.0,5702.4,129.5,240.0,2025-01-15 00:00:00
16/03/2024,PC-EQ-07	,24.0,0.0,5620.5,137.3,280.0,2024-03-17 00:00:00
25/05/2024,PC_EQ_04,24.0,0.0,7969.0,166.1,368.0,2024-05-26 00:00:00
24/05/2024,PCEQ08,24.0,0.0,7121.2,94.4,320.0,2024-05-25 00:00:00
14/01/2024,PC-EQ-08,24.0,0.0,6190.7,134.9,320.0,2024-01-15 00:00:00
24/08/2024,PC-EQ-01	,24.0,0.0,8856.5,343.0,416.0,2024-08-25 00:00:00
16/04/2024,pc-eq-08,22.3,1.7,5906.4,47.8,320.0,2024-04-17 00:00:00
06/12/2024,PC-EQ-08	,23.5,0.5,6522.9,222.1,320.0,2024-12-07 00:00:00
29/02/2024,PC_EQ_09,24.0,0.0,4580.9,135.2,208.0,2024-03-01 00:00:00
17/06/2024,PC-EQ-01 ,24.0,0.0,9042.9,326.3,416.0,2024-06-18 00:00:00
03/07/2024,PC_EQ_03,24.0,,6530.9,36.7,304.0,2024-07-04 00:00:00
