fecha,equipo_id,horas_operativas,horas_parada,toneladas_procesadas,toneladas_fuera_especificacion,capacidad_nominal_tmh,turno
2025-07-30,PC-EQ-09,24.0,0.0,4353.4,114.6,208.0,
2025-03-09,PC-EQ-05,24.0,0.0,4680.6,93.1,240.0,
2027-01-25,PC-EQ-07,24.0,0.0,6031.7,115.8,280.0,
2025-08-19,PC-EQ-07,24.0,0.0,6349.7,,280.0,
2025-11-16,PC-EQ-06,24.0,0.0,5183.3,109.1,240.0,
2027-10-05,PC-EQ-04,24.0,0.0,8671.3,142.7,368.0,
2025-12-18,PC-EQ-01,22.1,1.9,8785.9,181.4,416.0,
2027-09-07,PC-EQ-07,24.0,0.0,5730.3,79.8,280.0,
2026-03-15,PC-EQ-05,18.3,5.7,3897.6,87.5,240.0,
2027-10-30,PC-EQ-10,6.1,17.9,2100.6,31.4,400.0,
2026-09-11,PC-EQ-03,24.0,0.0,6946.1,219.4,304.0,
2027-10-06,PC-EQ-10,24.0,0.0,8613.4,128.9,400.0,
2027-07-16,PC-EQ-10,24.0,0.0,8615.3,219.3,400.0,
2027-08-23,PC-EQ-02,24.0,0.0,7102.0,72.2,344.0,
2027-02-07,PC-EQ-08,24.0,0.0,6616.0,97.8,320.0,
2026-08-31,PC-EQ-10,24.0,0.0,9154.0,228.5,400.0,
2027-07-23,PC-EQ-03,24.0,0.0,5640.3,79.0,304.0,
2026-01-03,PC-EQ-10,24.0,0.0,8503.5,63.9,400.0,
2027-10-21,PC-EQ-04,4.0,20.0,1284.8,27.3,368.0,
2027-01-07,PC-EQ-09,24.0,0.0,4942.1,71.2,208.0,
2026-08-23,PC-EQ-08,24.0,0.0,7419.4,213.8,320.0,
2026-03-19,PC-EQ-07,24.0,0.0,6262.9,45.3,280.0,
2025-10-09,PC-EQ-04,19.3,4.7,6716.3,223.6,368.0,
2027-02-19,PC-EQ-09,24.0,0.0,4380.9,71.2,208.0,
2025-04-30,PC-EQ-07,0.15,0.0,159.4,7.8,280.0,3.0
2025-09-14,PC-EQ-07,24.0,0.0,6105.0,200.1,280.0,
2025-08-28,PC-EQ-02,24.0,0.0,7122.5,104.8,344.0,
2027-07-05,PC-EQ-04,4.0,20.0,1403.0,33.1,368.0,
2025-06-06,PC-EQ-05,5.85,0.0,1348.7,10.1,240.0,1.0
2027-03-25,PC-EQ-08,24.0,0.0,7603.2,228.1,320.0,
2025-11-12,PC-EQ-09,24.0,0.0,4293.4,87.4,208.0,
2025-10-25,PC-EQ-10,22.1,1.9,7236.0,170.9,400.0,
2026-02-14,PC-EQ-04,24.0,0.0,8663.3,177.5,368.0,
2027-08-16,PC-EQ-01,21.0,3.0,7472.7,181.5,416.0,
2026-11-29,PC-EQ-05,24.0,0.0,5295.3,76.6,240.0,
2026-12-19,PC-EQ-05,17.3,6.7,3594.2,6.9,240.0,
2025-05-19,PC-EQ-09,24.0,0.0,4444.5,97.9,208.0,
2025-07-21,PC-EQ-05,24.0,0.0,5258.0,61.9,240.0,
2027-12-04,PC-EQ-08,24.0,0.0,6326.4,217.9,320.0,
2027-09-20,PC-EQ-04,19.4,4.6,6409.2,146.6,368.0,
2025-07-25,PC-EQ-02,24.0,0.0,7111.9,137.7,344.0,
2025-03-25,PC-EQ-05,19.0,5.0,3902.8,23.6,240.0,
2027-03-05,PC-EQ-10,24.0,0.0,9477.9,216.5,400.0,
2025-09-29,PC-EQ-02,19.8,4.2,6195.6,105.6,344.0,
2027-08-10,PC-EQ-07,24.0,0.0,5857.2,130.5,280.0,
2025-05-03,PC-EQ-09,24.0,0.0,4852.7,107.9,208.0,
2027-02-09,PC-EQ-06,24.0,0.0,4808.1,117.9,240.0,
2026-03-03,PC-EQ-01,24.0,0.0,9289.9,31.2,416.0,
2027-04-08,PC-EQ-06,23.2,0.8,4890.6,53.3,240.0,
2026-05-03,PC-EQ-09,24.0,0.0,4942.1,127.4,208.0,
2026-02-13,PC-EQ-02,24.0,0.0,7272.7,40.1,344.0,
2026-12-21,PC-EQ-01,24.0,0.0,9753.3,198.5,416.0,
2027-12-24,PC-EQ-09,24.0,0.0,4279.5,52.2,208.0,
2027-04-21,PC-EQ-07,11.4,12.6,2884.5,54.4,280.0,
2025-06-30,PC-EQ-04,24.0,0.0,7768.0,170.0,368.0,
2027-08-21,PC-EQ-01,24.0,0.0,8739.7,48.3,416.0,
2026-12-22,PC-EQ-04,24.0,0.0,8132.6,213.7,368.0,
2027-07-19,PC-EQ-04,4.0,20.0,1313.8,44.6,368.0,
2025-11-21,PC-EQ-01,15.2,8.8,5358.0,146.7,416.0,
2025-08-15,PC-EQ-02,22.0,2.0,6599.4,,344.0,
2027-04-20,PC-EQ-10,18.6,5.4,7218.5,130.1,400.0,
2025-06-03,PC-EQ-05,18.43,0.0,3416.7,25.6,240.0,1.0
2027-05-30,PC-EQ-04,24.0,0.0,8049.8,194.3,368.0,
2027-08-28,PC-EQ-06,11.4,12.6,2503.9,40.6,240.0,
2025-08-12,PC-EQ-03,24.0,0.0,6363.7,40.4,304.0,
2026-08-31,PC-EQ-03,24.0,0.0,6877.6,46.6,304.0,
2025-05-29,PC-EQ-02,24.0,0.0,7597.7,178.8,344.0,
2026-06-25,PC-EQ-02,24.0,0.0,8153.5,220.9,344.0,
2025-10-22,PC-EQ-01,23.3,0.7,8225.9,87.9,416.0,
2026-11-07,PC-EQ-07,24.0,0.0,6134.0,73.7,280.0,
2027-05-01,PC-EQ-01,24.0,0.0,8771.9,152.7,416.0,
2025-12-02,PC-EQ-08,24.0,0.0,6679.0,70.6,320.0,
2026-06-11,PC-EQ-09,24.0,0.0,4659.0,40.1,208.0,
2027-01-10,PC-EQ-05,4.0,20.0,907.4,12.9,240.0,
2025-04-10,PC-EQ-09,24.0,0.0,4560.3,,208.0,
2026-05-09,PC-EQ-01,24.0,0.0,8894.8,189.5,416.0,
2026-05-22,PC-EQ-04,24.0,0.0,7199.1,196.2,368.0,
2026-11-25,PC-EQ-04,12.8,11.2,3756.2,42.5,368.0,
2027-01-01,PC-EQ-02,24.0,0.0,7516.0,114.4,344.0,
2026-06-12,PC-EQ-10,24.0,0.0,8885.1,165.3,400.0,
2025-03-07,PC-EQ-05,24.0,0.0,5017.0,64.0,240.0,
2027-04-08,PC-EQ-07,24.0,0.0,6193.2,200.1,280.0,
2025-04-30,PC-EQ-03,24.0,0.0,6984.4,103.8,304.0,
2027-02-25,PC-EQ-03,24.0,0.0,6346.6,86.8,304.0,
2027-03-25,PC-EQ-05,23.0,1.0,5002.7,105.8,240.0,
2026-02-21,PC-EQ-05,24.0,0.0,5404.5,89.3,240.0,
