Fecha,Cod_Equipo,Horas_Trab,Horas_Parada,Ton_Producidas,Ton_Rechazo,Cap_Nominal_TMH,Fecha_Carga
03/12/2024,PN-EQ-07	,24.0,0.0,7220.2,227.0,350.0,2024-12-04 00:00:00
18/09/2024,PN-EQ-05	,24.0,0.0,6572.6,50.1,300.0,2024-09-19 00:00:00
21/04/2025,PN_EQ_07,24.0,0.0,7139.1,109.8,350.0,2025-04-22 00:00:00
12/04/2024, PN-EQ-01,24.0,0.0,11141.7,90.0,520.0,2024-04-13 00:00:00
16/02/2024,PN_EQ_02,24.0,0.0,8809.7,160.9,430.0,2024-02-17 00:00:00
31/03/2025,pn-eq-01,24.0,0.0,11194.1,234.1,520.0,2025-04-01 00:00:00
26/10/2025,PNEQ07,24.0,0.0,7620.1,133.6,350.0,2025-10-27 00:00:00
02/01/2026, PN-EQ-04,16.7,7.3,7040.1,183.1,460.0,2026-01-03 00:00:00
05/07/2024,PN-EQ-03 ,24.0,0.0,8643.7,270.6,380.0,2024-07-06 00:00:00
14/08/2025,PN-EQ-01,24.0,0.0,10840.2,193.1,520.0,2025-08-15 00:00:00
23/01/2024,PN-EQ-05 ,21.6,2.4,5851.7,66.2,300.0,2024-01-24 00:00:00
25/11/2024,PN-EQ-09 ,24.0,0.0,5688.1,124.9,260.0,2024-11-26 00:00:00
29/09/2025,PN-EQ-05	,24.0,,5901.7,62.2,300.0,2025-09-30 00:00:00
22/11/2024,PN_EQ_07,16.1,7.9,5033.2,160.8,350.0,2024-11-23 00:00:00
27/09/2024,PN-EQ-07 ,23.5,0.5,7532.3,165.2,350.0,2024-09-28 00:00:00
29/10/2024, PN-EQ-08,24.0,0.0,8867.7,232.6,400.0,2024-10-30 00:00:00
09/01/2025,PNEQ01,24.0,0.0,11147.1,202.3,520.0,2025-01-10 00:00:00
10/05/2025,pn-eq-09,24.0,0.0,5404.7,,260.0,2025-05-11 00:00:00
15/04/2025,PN-EQ-03 ,24.0,0.0,8555.7,203.8,380.0,2025-04-16 00:00:00
06/08/2024,PNEQ08,24.0,0.0,8470.1,160.8,400.0,2024-08-07 00:00:00
12/11/2024,PN-EQ-06	,24.0,0.0,6489.3,262.3,300.0,2024-11-13 00:00:00
09/11/2025,PN-EQ-09,24.0,0.0,5257.1,37.6,260.0,2025-11-10 00:00:00
25/02/2024,pn-eq-03,24.0,0.0,7952.4,215.6,380.0,2024-02-26 00:00:00
10/12/2024,PNEQ03,24.0,0.0,8477.4,99.6,380.0,2024-12-11 00:00:00
15/04/2025,PN-EQ-05,24.0,0.0,6294.0,148.1,300.0,2025-04-16 00:00:00
09/12/2024,PNEQ04,24.0,0.0,10267.5,295.8,460.0,2024-12-10 00:00:00
27/12/2025,pn-eq-05,24.0,0.0,6632.3,128.5,300.0,2025-12-28 00:00:00
23/03/2024,PN_EQ_06,24.0,0.0,6165.7,123.4,300.0,2024-03-24 00:00:00
12/09/2024,PN_EQ_04,24.0,0.0,10589.6,286.3,460.0,2024-09-13 00:00:00
28/07/2024,PN-EQ-04,24.0,0.0,9629.8,162.6,460.0,2024-07-29 00:00:00
