fecha,equipo_id,horas_operativas,horas_parada,toneladas_procesadas,toneladas_fuera_especificacion,capacidad_nominal_tmh,turno
2027-12-13,PN-EQ-05,24.0,0.0,6629.8,121.3,300.0,
2027-02-21,PN-EQ-01,24.0,0.0,11208.8,219.1,520.0,
2027-03-28,PN-EQ-02,24.0,0.0,8807.9,77.8,430.0,
2026-08-06,PN-EQ-02,24.0,0.0,8816.5,181.3,430.0,
2026-09-22,PN-EQ-04,4.0,20.0,1738.1,45.1,460.0,
2026-06-03,PN-EQ-06,21.4,2.6,5606.6,179.5,300.0,
2026-09-24,PN-EQ-04,24.0,0.0,9617.9,81.4,460.0,
2026-08-14,PN-EQ-05,24.0,0.0,7045.7,101.0,300.0,
2026-01-24,PN-EQ-02,24.0,0.0,8083.4,114.2,430.0,
2026-04-21,PN-EQ-02,24.0,0.0,8684.1,38.7,430.0,
2027-09-18,PN-EQ-06,24.0,0.0,6238.5,89.2,300.0,
2026-02-26,PN-EQ-10,4.6,0.0,2097.3,0.7,500.0,3.0
2026-09-26,PN-EQ-04,18.9,5.1,8088.0,134.4,460.0,
2027-09-04,PN-EQ-10,24.0,0.0,11470.3,197.7,500.0,
2027-05-21,PN-EQ-08,24.0,0.0,8354.4,128.6,400.0,
2027-03-28,PN-EQ-04,24.0,0.0,9515.9,161.7,460.0,
2027-11-19,PN-EQ-03,24.0,0.0,8577.8,163.9,380.0,
2027-08-12,PN-EQ-10,24.0,0.0,11614.2,292.2,500.0,
2027-11-26,PN-EQ-01,24.0,0.0,10954.0,385.1,520.0,
2026-03-13,PN-EQ-09,18.64,0.0,4841.6,16.4,260.0,1.0
2027-01-09,PN-EQ-04,24.0,0.0,10124.9,285.8,460.0,
2026-07-07,PN-EQ-07,22.3,1.7,7404.1,133.9,350.0,
2027-01-01,PN-EQ-04,15.0,9.0,6255.1,81.5,460.0,
2026-09-07,PN-EQ-08,24.0,0.0,9424.1,123.5,400.0,
2027-12-08,PN-EQ-04,24.0,0.0,9493.8,74.4,460.0,
2026-04-28,PN-EQ-04,15.0,9.0,6491.2,83.3,460.0,
2026-07-30,PN-EQ-01,24.0,0.0,11443.6,113.2,520.0,
2026-11-20,PN-EQ-10,12.4,11.6,5588.9,37.2,500.0,
2026-07-18,PN-EQ-01,24.0,0.0,10402.7,268.5,520.0,
2027-10-08,PN-EQ-07,21.2,2.8,6197.3,101.3,350.0,
2027-03-31,PN-EQ-08,15.9,8.1,5399.4,185.3,400.0,
2026-07-16,PN-EQ-02,24.0,0.0,8828.9,294.3,430.0,
2026-06-22,PN-EQ-06,23.3,0.7,6166.9,201.9,300.0,
2026-02-18,PN-EQ-05,24.0,0.0,6473.2,146.0,300.0,
2027-07-31,PN-EQ-10,24.0,0.0,10584.2,0.0,500.0,
2027-01-06,PN-EQ-04,24.0,0.0,9779.7,353.7,460.0,
2026-12-27,PN-EQ-09,24.0,0.0,5725.9,34.1,260.0,
2026-08-24,PN-EQ-05,24.0,0.0,5967.8,47.4,300.0,
2026-04-20,PN-EQ-06,24.0,0.0,6573.9,67.4,300.0,
2026-03-31,PN-EQ-10,14.93,0.0,6840.9,48.1,500.0,1.0
2026-03-18,PN-EQ-10,15.45,0.0,6512.7,68.2,500.0,2.0
2026-05-17,PN-EQ-04,24.0,0.0,10623.0,148.8,460.0,
2026-01-10,PN-EQ-06,24.0,0.0,6453.0,112.4,300.0,
2027-10-24,PN-EQ-01,24.0,0.0,10704.4,197.9,520.0,
2027-11-30,PN-EQ-04,24.0,0.0,9443.2,160.6,460.0,
2026-03-18,PN-EQ-09,18.78,0.0,4235.2,169.3,260.0,2.0
2027-09-10,PN-EQ-08,18.3,5.7,5913.5,53.9,400.0,
2027-10-03,PN-EQ-05,24.0,0.0,5532.7,86.4,300.0,
2027-06-23,PN-EQ-08,22.1,1.9,7280.4,142.6,400.0,
2026-01-12,PN-EQ-05,24.0,0.0,6790.1,119.1,300.0,
2027-01-14,PN-EQ-10,14.3,9.7,6541.3,112.0,500.0,
2026-06-20,PN-EQ-09,24.0,0.0,5906.8,68.8,260.0,
2026-07-21,PN-EQ-01,14.1,9.9,6887.0,154.4,520.0,
2026-05-13,PN-EQ-02,24.0,0.0,10003.1,275.2,430.0,
2027-08-08,PN-EQ-10,22.7,1.3,10717.0,127.9,500.0,
2027-02-16,PN-EQ-02,24.0,0.0,8722.2,118.8,430.0,
2027-02-18,PN-EQ-10,24.0,0.0,11277.3,263.1,500.0,
2027-03-24,PN-EQ-03,24.0,0.0,8730.0,142.0,380.0,
2027-05-27,PN-EQ-01,24.0,0.0,10645.0,254.6,520.0,
2026-04-08,PN-EQ-02,24.0,0.0,8364.0,144.1,430.0,
2026-03-03,PN-EQ-09,6.56,2.54,1685.0,85.7,260.0,1.0
2027-02-06,PN-EQ-07,24.0,0.0,7517.0,,350.0,
2026-02-16,PN-EQ-10,0.52,0.0,312.5,156.9,500.0,3.0
2027-12-05,PN-EQ-09,24.0,0.0,5533.6,87.5,260.0,
2027-01-14,PN-EQ-07,24.0,0.0,7027.2,139.0,350.0,
2027-08-22,PN-EQ-10,24.0,0.0,10150.5,263.1,500.0,
2026-03-31,PN-EQ-10,8.39,0.0,4093.6,111.5,500.0,2.0
2027-02-24,PN-EQ-10,24.0,0.0,11428.1,284.4,500.0,
2026-06-05,PN-EQ-07,24.0,0.0,7276.6,171.1,350.0,
2027-09-25,PN-EQ-04,9.3,14.7,3948.7,84.3,460.0,
2027-12-24,PN-EQ-08,24.0,0.0,9271.2,196.6,400.0,
2026-03-14,PN-EQ-02,24.0,0.0,9618.0,139.8,430.0,
2026-07-03,PN-EQ-05,24.0,0.0,6053.0,127.3,300.0,
2027-02-28,PN-EQ-06,18.6,5.4,5010.9,103.4,300.0,
2027-01-04,PN-EQ-05,18.6,5.4,5357.4,112.7,300.0,
2026-12-10,PN-EQ-01,24.0,0.0,11016.4,291.6,520.0,
2026-06-16,PN-EQ-09,24.0,0.0,5729.2,59.4,260.0,
2026-04-24,PN-EQ-01,15.3,8.7,7336.9,59.3,520.0,
