Fecha,Cod_Equipo,Horas_Trab,Horas_Parada,Ton_Producidas,Ton_Rechazo,Cap_Nominal_TMH,Fecha_Carga
09/01/2024, PS-EQ-04,24.0,0.0,11362.0,304.1,552.0,2024-01-10 00:00:00
07/05/2024,PS_EQ_07,21.4,2.6,8618.9,156.2,420.0,2024-05-08 00:00:00
14/05/2024, PS-EQ-05,24.0,0.0,7336.8,154.4,360.0,2024-05-15 00:00:00
12/02/2024,PSEQ01,24.0,0.0,13739.8,90.2,624.0,2024-02-13 00:00:00
04/02/2024,PS-EQ-05 ,11.6,12.4,3774.9,84.3,360.0,2024-02-05 00:00:00
05/05/2024,PS-EQ-01	,21.8,2.2,11061.1,213.0,624.0,2024-05-06 00:00:00
19/03/2024, PS-EQ-04,20.5,3.5,9811.4,379.2,552.0,2024-03-20 00:00:00
04/01/2024,PSEQ09,24.0,0.0,6429.2,193.9,312.0,2024-01-05 00:00:00
25/01/2024,ps-eq-04,24.0,0.0,10309.4,258.3,552.0,2024-01-26 00:00:00
12/03/2024,PSEQ06,24.0,0.0,8092.4,222.7,360.0,2024-03-13 00:00:00
16/06/2024,PS-EQ-05 ,24.0,0.0,7799.1,179.8,360.0,2024-06-17 00:00:00
05/05/2024,PSEQ10,24.0,0.0,12868.2,146.5,600.0,2024-05-06 00:00:00
10/01/2024,PSEQ03,24.0,0.0,9967.1,188.4,456.0,2024-01-11 00:00:00
28/03/2024,ps-eq-03,24.0,0.0,9360.5,179.6,456.0,2024-03-29 00:00:00
04/01/2024,PS-EQ-07,24.0,0.0,8871.4,127.4,420.0,2024-04-02 00:00:00
09/06/2024,PS-EQ-06,24.0,0.0,8553.6,220.8,360.0,2024-06-10 00:00:00
04/07/2024,ps-eq-10,24.0,0.0,12209.0,300.3,600.0,2024-07-05 00:00:00
18/03/2024,PS_EQ_02,24.0,,11126.0,194.2,516.0,2024-03-19 00:00:00
09/05/2024,PS-EQ-02	,23.3,0.7,10730.7,162.4,516.0,2024-05-10 00:00:00
14/05/2024,PS-EQ-07,24.0,0.0,9033.6,229.0,420.0,2024-05-15 00:00:00
24/05/2024,PS-EQ-04,24.0,0.0,12703.6,231.2,552.0,2024-05-25 00:00:00
25/03/2024,PS-EQ-07,24.0,0.0,8551.5,185.0,420.0,2024-03-26 00:00:00
03/03/2024,ps-eq-05,24.0,0.0,7815.4,224.5,360.0,2024-03-04 00:00:00
26/03/2024,PS-EQ-01,24.0,0.0,14143.1,341.6,624.0,2024-03-27 00:00:00
20/01/2024,PS-EQ-04,24.0,0.0,11063.5,168.2,552.0,2024-01-21 00:00:00
06/02/2024,PS-EQ-05,22.0,2.0,7116.1,212.7,360.0,2024-02-07 00:00:00
27/06/2024,PS-EQ-02 ,21.4,2.6,10458.0,184.7,516.0,2024-06-28 00:00:00
10/06/2024,PSEQ08,24.0,0.0,10400.7,123.4,480.0,2024-06-11 00:00:00
11/03/2024,PS-EQ-07 ,24.0,0.0,9140.8,89.1,420.0,2024-03-12 00:00:00
19/01/2024,PS_EQ_05,24.0,0.0,7406.9,220.7,360.0,2024-01-20 00:00:00
13/05/2024,PS-EQ-07 ,24.0,0.0,9615.5,284.0,420.0,2024-05-14 00:00:00
01/02/2024, PS-EQ-02,18.3,5.7,9345.2,257.5,516.0,2024-02-02 00:00:00
28/06/2024,ps-eq-02,21.6,2.4,10451.7,206.8,516.0,2024-06-29 00:00:00
09/06/2024,PS-EQ-08 ,24.0,0.0,10518.1,105.9,480.0,2024-06-10 00:00:00
19/03/2024,PS-EQ-02	,24.0,0.0,11792.2,183.7,516.0,2024-03-20 00:00:00
09/03/2024,ps-eq-07,24.0,0.0,9521.4,265.7,420.0,2024-03-10 00:00:00
23/05/2024,ps-eq-02,24.0,0.0,12159.3,322.6,516.0,2024-05-24 00:00:00
17/05/2024,PSEQ06,24.0,0.0,7702.1,303.3,360.0,2024-05-18 00:00:00
21/02/2024,PS_EQ_04,24.0,0.0,12472.7,308.1,552.0,2024-02-22 00:00:00
02/06/2024,PSEQ06,24.0,0.0,8184.4,89.5,360.0,2024-06-03 00:00:00
25/03/2024,PS-EQ-09,24.0,0.0,6123.6,91.0,312.0,2024-03-26 00:00:00
13/07/2024,PS-EQ-10	,21.7,2.3,11772.8,270.1,600.0,2024-07-14 00:00:00
15/06/2024,ps-eq-06,22.8,1.2,7455.3,155.7,360.0,2024-06-16 00:00:00
26/03/2024,PS-EQ-04 ,24.0,0.0,12288.2,143.5,552.0,2024-03-27 00:00:00
19/02/2024,PS_EQ_06,24.0,0.0,7296.5,119.4,360.0,2024-02-20 00:00:00
23/03/2024, PS-EQ-04,24.0,0.0,12277.1,396.0,552.0,2024-03-24 00:00:00
31/03/2024,PS-EQ-05,20.2,3.8,6119.0,157.7,360.0,2024-04-01 00:00:00
25/06/2024,PS-EQ-05,24.0,0.0,7302.3,163.1,360.0,2024-06-26 00:00:00
09/07/2024,ps-eq-01,24.0,0.0,14433.4,293.9,624.0,2024-07-10 00:00:00
31/01/2024,PS-EQ-03	,24.0,0.0,9437.2,275.3,456.0,2024-02-01 00:00:00
