fecha,equipo_id,horas_operativas,horas_parada,toneladas_procesadas,toneladas_fuera_especificacion,capacidad_nominal_tmh,turno
2026-03-04,PS-EQ-04,24.0,0.0,11202.1,269.7,552.0,
2024-11-05,PS-EQ-08,3.03,0.0,1108.8,63.1,480.0,1.0
2026-01-10,PS-EQ-04,24.0,0.0,12625.2,281.8,552.0,
2027-04-20,PS-EQ-04,24.0,0.0,12257.8,157.9,552.0,
2025-11-29,PS-EQ-10,24.0,0.0,12274.5,205.7,600.0,
2024-09-21,PS-EQ-05,24.0,0.0,8027.4,105.7,360.0,
2027-10-10,PS-EQ-06,24.0,0.0,8128.3,223.0,360.0,
2027-07-06,PS-EQ-06,24.0,0.0,8305.9,151.8,360.0,
2024-09-10,PS-EQ-08,24.0,0.0,10160.7,101.8,480.0,
2024-10-15,PS-EQ-06,23.4,0.6,7709.6,130.9,360.0,
2025-08-04,PS-EQ-06,24.0,0.0,7541.7,44.2,360.0,
2025-08-10,PS-EQ-05,24.0,0.0,7847.6,120.7,360.0,
2026-08-26,PS-EQ-08,22.2,1.8,9298.5,265.8,480.0,
2027-07-20,PS-EQ-10,24.0,0.0,11718.0,201.7,600.0,
2025-02-27,PS-EQ-01,24.0,0.0,13736.6,439.9,624.0,
2027-08-15,PS-EQ-01,24.0,0.0,13748.7,158.0,624.0,
2024-08-06,PS-EQ-09,24.0,0.0,6805.2,110.4,312.0,
2025-04-06,PS-EQ-07,24.0,0.0,7986.3,106.0,420.0,
2027-01-28,PS-EQ-04,24.0,0.0,11754.5,123.5,552.0,
2024-10-31,PS-EQ-07,9.1,0.0,3797.7,141.4,420.0,1.0
2027-05-01,PS-EQ-08,24.0,0.0,10629.2,7.5,480.0,
2025-05-15,PS-EQ-08,24.0,0.0,10098.5,193.6,480.0,
2026-05-30,PS-EQ-02,18.3,5.7,8417.8,161.7,516.0,
2025-09-22,PS-EQ-05,21.9,2.1,6707.6,168.0,360.0,
2024-11-28,PS-EQ-05,21.7,2.3,6736.5,148.0,360.0,
2027-06-15,PS-EQ-04,24.0,0.0,11555.9,164.3,552.0,
2025-03-20,PS-EQ-03,23.5,0.5,10487.2,128.0,456.0,
2026-01-16,PS-EQ-06,24.0,0.0,8110.1,158.6,360.0,
2027-03-28,PS-EQ-09,19.9,4.1,6113.9,116.7,312.0,
2025-11-23,PS-EQ-07,24.0,0.0,9081.6,224.9,420.0,
2026-06-24,PS-EQ-01,24.0,0.0,13169.8,172.6,624.0,
2024-10-22,PS-EQ-03,24.0,0.0,9822.3,243.4,456.0,
2027-09-23,PS-EQ-03,24.0,0.0,9685.3,155.2,456.0,
2026-03-21,PS-EQ-05,24.0,0.0,6913.6,67.4,360.0,
2026-11-09,PS-EQ-10,24.0,0.0,13836.1,217.2,600.0,
2026-02-25,PS-EQ-01,24.0,0.0,13433.4,246.6,624.0,
2027-10-22,PS-EQ-01,13.8,10.2,7517.2,94.8,624.0,
2024-08-01,PS-EQ-06,18.7,5.3,5637.3,76.0,360.0,
2025-02-08,PS-EQ-03,24.0,0.0,9680.6,192.1,456.0,
2027-01-06,PS-EQ-04,24.0,0.0,11340.4,341.1,552.0,
2027-02-03,PS-EQ-08,24.0,0.0,9327.0,253.3,480.0,
2027-01-07,PS-EQ-10,24.0,0.0,12040.7,267.9,600.0,
2027-12-13,PS-EQ-05,24.0,0.0,8301.7,3.4,360.0,
2026-03-26,PS-EQ-09,24.0,0.0,7355.3,181.3,312.0,
2026-07-12,PS-EQ-03,24.0,0.0,9614.5,106.2,456.0,
2027-06-27,PS-EQ-01,23.2,0.8,14332.0,209.0,624.0,
2027-09-10,PS-EQ-06,24.0,0.0,7794.5,175.9,360.0,
