planta,archivo,fila_idx,tipo_error,columna,valor_original,valor_inyectado
PS,legacy,29324,toneladas_negativas,Ton_Producidas,13506.1,-13506.1
PS,legacy,41025,toneladas_negativas,Ton_Producidas,6313.7,-6313.7
PS,legacy,36658,toneladas_negativas,Ton_Producidas,7790.7,-7790.7
PS,legacy,32286,toneladas_negativas,Ton_Producidas,9585.0,-9585.0
PS,legacy,36629,toneladas_negativas,Ton_Producidas,7520.8,-7520.8
PS,legacy,29316,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29320,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29321,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29322,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29324,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29327,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29328,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29331,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29332,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29337,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,29340,capacidad_x10_typo,Cap_Nominal_TMH,624.0,6240.0
PS,legacy,32298,bloque_dias_faltantes_outage,(fila completa),presente,eliminada
PS,legacy,32299,bloque_dias_faltantes_outage,(fila completa),presente,eliminada
PS,legacy,32300,bloque_dias_faltantes_outage,(fila completa),presente,eliminada
PS,legacy,39603,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,05/06/2024,06/05/2024
PS,legacy,41060,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,01/06/2024,06/01/2024
PS,legacy,38077,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,01/04/2024,04/01/2024
PS,legacy,33672,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,10/03/2024,03/10/2024
PS,legacy,29382,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,11/06/2024,06/11/2024
PS,legacy,33759,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,05/06/2024,06/05/2024
PS,legacy,36558,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,03/02/2024,02/03/2024
PS,legacy,30807,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,06/05/2024,05/06/2024
PS,legacy,30747,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,07/03/2024,03/07/2024
PS,legacy,33762,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,08/06/2024,06/08/2024
PS,legacy,32304,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,11/06/2024,06/11/2024
PS,legacy,33614,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,12/01/2024,01/12/2024
PS,legacy,35220,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,05/06/2024,06/05/2024
PS,legacy,38115,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,09/05/2024,05/09/2024
PS,legacy,39517,fecha_ambigua_dd_mm_vs_mm_dd,Fecha,11/03/2024,03/11/2024
PS,nuevo,contaminante_12947,contaminacion_cruzada_entre_plantas,equipo_id,pertenece a planta PN,PN-EQ-09
PS,nuevo,contaminante_5619,contaminacion_cruzada_entre_plantas,equipo_id,pertenece a planta PN,PN-EQ-04
PS,nuevo,contaminante_2220,contaminacion_cruzada_entre_plantas,equipo_id,pertenece a planta PN,PN-EQ-02
PS,nuevo,contaminante_7172,contaminacion_cruzada_entre_plantas,equipo_id,pertenece a planta PN,PN-EQ-05
PS,nuevo,contaminante_5336,contaminacion_cruzada_entre_plantas,equipo_id,pertenece a planta PN,PN-EQ-04
PS,nuevo,contaminante_13648,contaminacion_cruzada_entre_plantas,equipo_id,pertenece a planta PN,PN-EQ-10
PS,nuevo,contaminante_8031,contaminacion_cruzada_entre_plantas,equipo_id,pertenece a planta PN,PN-EQ-06
